carmel,spice,veg,oak,hot,floral,chem,trop,citrus,sweet,sour,bitter,astrMF,hotMF,viscMF,viscosity,density,ethanol,phenolics,Citrate,Tartrate,Malate,Succinate,Lactate,Acetic,'Total' Sugars,Glycerol,P,K,Ca,Mg,Na,Cl,pH,TA
4.166666667,1.34,1.826666667,4.166666667,1.91,0.76,1.493333333,1.16,0.8,2.086666667,4.136666667,2.293333333,1.726666667,3.966666667,2.57,1.306925502,0.985089446,14.83,107,0.261,2.157,1.129,4.346,1.986,0.6,2.225,6.826,191.6,807,53,121.6,18.2,68,3.53,5.802
4.316666667,1.88,2.016666667,4.04,1.726666667,0.526666667,1.85,1.396666667,0.56,1.76,3.443333333,2.333333333,1.22,3.243333333,2.85,1.313394351,0.984964567,14.65,90,0.217,2.532,0.623,4.485,2.009,0.644,1.97,6.825,182.2,737,43.1,138.7,18.8,60,3.55,5.653
4.27,1.47,1.086666667,4.706666667,2.273333333,0.9,0.743333333,1.296666667,0.833333333,2.316666667,3.603333333,2.533333333,1.843333333,4.03,3.21,1.293157285,0.984922941,14.68,78,0.123,2.134,0.536,3.427,1.576,0.502,3.314,7.089,204.5,629,50,109.9,18.1,46,3.4,5.516
1.62,1.183333333,3.773333333,1.59,2.23,1.283333333,3.153333333,1.403333333,1.053333333,2.136666667,4.103333333,2.026666667,1.73,3.51,2.163333333,1.245641971,0.985921975,13.34,54,0.259,2.636,1.774,2.236,0.435,0.32,3.677,6.442,143.3,504,64,103.5,23.6,58,3.31,5.39
2.536666667,0.82,2.736666667,1.283333333,1.783333333,1.49,1.07,2.526666667,1.74,2.306666667,4.483333333,2.21,1.26,3.643333333,2.33,1.288085969,0.982799993,14.81,97,0.296,2.148,2.418,2.586,0.238,0.446,0.604,6.361,208.15,535,73.35,79.85,18.65,30,3.37,5.841
3.116666667,1.006666667,0.56,1.666666667,1.486666667,2.2,0.783333333,2.436666667,1.283333333,3.903333333,3.126666667,1.22,0.966666667,2.503333333,2.44,1.252366128,0.989793233,12.72,108,0.208,3.383,0.557,2.316,1.42,0.726,10.056,6.344,302.5,646,60.2,98.5,7.6,52,3.42,6.066
3.263333333,1.54,1.453333333,1.646666667,1.626666667,1.49,2.503333333,1.93,0.653333333,1.22,4.043333333,2.11,2.05,3.21,2.216666667,1.241074318,0.983549268,13.56,53,0,2.25,0.283,2.345,1.55,0.432,0.712,7.714,218.2,502,42.9,81.3,21.2,30,3.32,5.095
1.813333333,1.27,2.313333333,1.3,2.043333333,1.206666667,2.453333333,1.446666667,1.473333333,1.76,3.96,2.486666667,1.546666667,3.156666667,1.97,1.244128206,0.98317463,13.37,40,0.009,2.25,0.324,2.373,1.525,0.364,0.561,7.447,215.4,525,47.2,81.7,16.4,32,3.37,5
3.336666667,1.53,0.34,0.61,1.853333333,3.566666667,0.266666667,2.563333333,1.513333333,1.6,3.62,2.216666667,1.553333333,3.806666667,2.42,1.286321847,0.985797096,14.28,167,0.327,2.02,2.445,1.846,0.328,0.461,0.685,6.853,301.9,934,55.1,130.9,10,55,3.57,6.088
2.04,1.016666667,2.213333333,1,2.233333333,2.183333333,2.11,1.736666667,1.15,1.173333333,5.663333333,1.816666667,1.876666667,3.496666667,2.12,1.23242452,0.983008125,13.6,53,0.22,3.378,1.961,2.343,0.275,0.37,0.402,5.243,69.1,427,60.8,79.8,16.6,38,3.17,6.077
2.62,0.633333333,0.963333333,1.206666667,2.37,3.206666667,0.583333333,2.66,1.746666667,2.403333333,3.16,2.056666667,1.083333333,3.623333333,2.323333333,1.282964064,0.984381797,14.53,112,0.325,2.269,2.384,1.994,0.292,0.11,1.642,7.902,194.3,956,43.4,85.2,13.2,52,3.72,4.895
2.276666667,1.386666667,2.523333333,1.773333333,1.79,0.776666667,2.433333333,1.75,1.056666667,1.313333333,5.193333333,2.14,1.58,3.003333333,2.55,1.275906549,0.986130107,13.86,121,0.38,2.173,3.151,5.33,0.371,0.238,0.762,7.713,156.2,757,75.5,108.8,27.2,68,3.45,6.633
1.83,0.826666667,1.896666667,0.956666667,1.813333333,1.72,1.366666667,1.416666667,1.163333333,1.9,4.18,1.673333333,1.65,3.21,2.133333333,1.236884676,0.985339205,12.95,82,0.23,1.888,2.266,1.643,0.166,0.437,4.523,6.419,91.8,474,58.8,70.4,10.7,31,3.29,5.42
3.64,1.186666667,0.783333333,1.066666667,1.59,3.013333333,0.793333333,2.266666667,0.89,3.02,4.833333333,0.896666667,1.403333333,2.46,2.63,1.262626396,0.991291784,12.69,163,0.191,2.495,1.46,6.064,2.461,0.705,11.889,6.326,290.9,597.5,80.1,73.15,16.5,47,3.33,7.019
